INDEX,BUILDING,LEVEL,TRADE,INT CODE,Discipline,DWG REF,ZONE,GRID X1,GRID X2,GRID Y1,GRID Y2,GT CODE,KEY,ISSUE,OPENING DATE,STATUS,ACTION BY DATE,LAST CHANGE OF STATUS,ACTION / SUBJECT TO,BY NAME,ORG
30033,GAL,P2,GT,1,CONC/ARCH, CCAD-AED-DG-_A-2P2J,J,6,7,AC,AB,,none,Revise size of elevator opening in floor slab,10/14/10,CLOSED,,,,,DDD
30034,GAL,P2,GT,2,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AB,,,none,Steel beam clashes with slab,10/14/10,CLOSED,,,Redundant with I-153,,DDD
30035,GAL,P2,GT,3,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AB,AC,,none,"Beam ""sinks"" into slab",10/14/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30036,GAL,P2,GT,4,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AC,,,none,Steel beam clashes with slab,10/14/10,CLOSED,,,Redundant with I-153,,DDD
30037,GAL,P2,GT,5,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AD,,,none,Steel beam clashes with slab,10/14/10,CLOSED,,,Redundant with I-153,,DDD
30038,GAL,P2,GT,6,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AE,,,none,Steel beam clashes with slab,10/14/10,CLOSED,,,Redundant with I-153,,DDD
30039,GAL,P2,GT,7,CONC/STEEL, CCAD-AED-DG-_A-2P2J,J,5,6,AF,,,none,Unresolved: Unfinished slab,10/14/10,CLOSED,,,Request updated concrete model from DDD,,DDD
30040,GAL,P2,GT,1,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,6.5,,U,,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30041,GAL,P2,GT,2,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,7.5,,U,,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30042,GAL,P2,GT,3,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,7.5,,T,U,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30043,GAL,P2,GT,4,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,7.5,,T,,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30044,GAL,P2,GT,5,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,6.5,,T,,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30045,GAL,P2,GT,6,CONC/STEEL, CCAD-AED-DG-_A-2P2N,N,6.5,,U,T,,none,Check level of metal plate,10/14/10,CLOSED,,,,,DDD
30046,GAL,P2,GT,1,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,8,,Q,,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30047,GAL,P2,GT,2,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,7,,Q,P,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30048,GAL,P2,GT,3,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,7.5,,Q,P,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30049,GAL,P2,GT,4,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,6.5,,P,,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30050,GAL,P2,GT,5,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,6.5,,Q,P,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30051,GAL,P2,GT,6,CONC/STEEL, CCAD-AED-DG-_A-2P2S,S,6.5,,Q,,,none,Check level of metal plate,10/14/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,DDD
30052,GAL,P3,GT,1,STEEL/MEP,CCAD-AED-DG-_A-2P3E,E,6,7,AK,AJ,,none,Duct clashes with steel beam,10/18/10,OPEN,,,,,EVS
30053,GAL,P3,GT,2,STEEL/MEP,CCAD-AED-DG-_A-2P3E,E,6,7,AK,AJ,,none,Duct clashes with steel beam,10/18/10,OPEN,,,,,EVS
30054,GAL,P3,GT,3,STEEL/MEP,CCAD-AED-DG-_A-2P3E,E,6,7,AK,AJ,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30055,GAL,P3,GT,4,STEEL/MEP,CCAD-AED-DG-_A-2P3E,E,6,7,AK,,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30056,GAL,P3,GT,17,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,Z,AA,,none,Duct clashes with concrete,10/18/10,CLOSED,,,Model amended by DDD (20101214),,DDD
30057,GAL,P3,GT,18,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,8,,Z,,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30058,GAL,P3,GT,19,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AA,,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30059,GAL,P3,GT,20,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AB,,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30060,GAL,P3,GT,21,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AC,,,none,Pipe clashes with steel beam,10/18/10,OPEN,,,,,EVS
30061,GAL,P3,GT,22,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,7,,AB,,,none,Duct clashes with column,10/18/10,OPEN,,,,,EVS
30062,GAL,P3,GT,23,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AB,AC,,none,Duct clashes with slab,10/18/10,CLOSED,,,,,EVS
30063,GAL,P3,GT,24,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AB,AC,,none,Duct clashes with slab,10/18/10,OPEN,,,,,EVS
30064,GAL,P3,GT,25,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,6,8,AC,AC,,none,Beam clashes with slab.,10/18/10,OPEN,,,DDD to revise.,Rosendo,DDD
30065,GAL,P3,GT,26,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,,,,,,none,Steel column clashes with slab/pilecap,10/18/10,CLOSED,,,No action required,,EVS
30066,GAL,P3,GT,27,ARCH/MEP,CCAD-AED-DG-_A-2P3J,J,,,,,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30067,GAL,P3,GT,28,ARCH/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AC,,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30068,GAL,P3,GT,29,ARCH/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AC,,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30069,GAL,P3,GT,11,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,AA,,,none,Duct clashes with beam,10/18/10,OPEN,,,,,EVS
30070,GAL,P3,GT,12,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,U,Y,,none,Duct clashes with boxes in multiple points,10/18/10,OPEN,,,,,EVS
30071,GAL,P3,GT,13,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,Y,Z,,none,Check distance between ducts,10/18/10,OPEN,,,,,EVS
30072,GAL,P3,GT,14,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,Y,Z,,none,Duct clashes with boxes in multiple points,10/18/10,OPEN,,,,,EVS
30073,GAL,P3,GT,15,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,5,6,Z,AA,,none,Check distance between ducts,10/18/10,OPEN,,,,,EVS
30074,GAL,P3,GT,16,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,5,6,Z,AA,,none,Check distance between ducts,10/18/10,OPEN,,,,,EVS
30075,GAL,P3,GT,17,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,X,,,none,Check distance between ducts,10/18/10,OPEN,,,,,EVS
30076,GAL,P3,GT,18,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,X,W,,none,Check distance between duct and beam,10/18/10,OPEN,,,,,EVS
30077,GAL,P3,GT,19,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,,,,none,Check distance between duct and beam,10/18/10,OPEN,,,,,EVS
30078,GAL,P3,GT,20,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,U,T,,none,Duct clashes with beam,10/18/10,OPEN,,,,,EVS
30079,GAL,P3,GT,21,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,U,,,none,Steel plates clash with duct,10/18/10,OPEN,,,,,EVS
30080,GAL,P3,GT,22,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,S,,,none,Check distance between duct and beam,10/18/10,OPEN,,,,,EVS
30081,GAL,P3,GT,23,STEEL/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,V,,,none,Duct clashes with column,10/18/10,OPEN,,,,,EVS
30082,GAL,P3,GT,24,CONC/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,U,S,,none,Duct clashes with slab,10/18/10,OPEN,,,,,DDD
30083,GAL,P3,GT,25,CONC/MEP, CCAD-AED-DG-_A-2P3N,N,6,7,U,S,,none,Duct clashes with slab,10/18/10,OPEN,,,,,DDD
30084,GAL,P3,GT,26,CONC/STEEL, CCAD-AED-DG-_A-2P3N,N,,,,,,none,Check level of metal plate,10/18/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30085,GAL,P3,GT,27,CONC/STEEL, CCAD-AED-DG-_A-2P3N,N,,,,,,none,Column clashes with concrete wall,10/18/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30086,GAL,P3,GT,28,CONC/STEEL, CCAD-AED-DG-_A-2P3N,N,,,,,,none,Steel beam clashes with slab,10/18/10,CLOSED,,,DDD UPDATED MODEL,,DDD
30087,GAL,P3,GT,29,CONC/STEEL, CCAD-AED-DG-_A-2P3N,N,,,,,,none,Beam clashes with concrete wall,10/18/10,CLOSED,,,BEAM GOES THROUGH BLOCK WALL,,EVS
30088,GAL,P3,GT,30,ARCH/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,S,T,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30089,GAL,P3,GT,31,ARCH/MEP, CCAD-AED-DG-_A-2P3N,N,7,8,S,T,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30090,GAL,P3,GT,32,ARCH/MEP,CCAD-AED-DG-_A-2P3N,N,7,8,S,T,,none,Duct at the door level,10/18/10,OPEN,,,,,AREP
30091,GAL,P3,GT,7,ARCH/MEP,CCAD-AED-DG-_A-2P3N,S,7,8,P,Q,,none,Duct at the door level,10/18/10,CLOSED,,,Right level confirmed by Rosendo Ilio,,AREP
30173,PG,P1,GT,8,ARCH/MEP,,T,15,13,S,M,,none,INCORRECT RISERS HEIGHT,10/19/10,OPEN,,,ETA to provide opening on the BWD. DDD to update model.,,AREP
30092,GAL,P3,GT,5,CONC/MEP,CCAD-AED-DG-_A-2P3E,E,2,3,N,S,,none,Pipe clashes with steel beam,10/20/10,CLOSED,,,ETA to amend model,,EVS
30118,GAL,P3,GT,30,CONC/ARCH,CCAD-AED-DG-_A-2P3J,J,6,7,AA,Z,,none,Pile cap enters the building,10/20/10,OPEN,,,DDD to revise.,Rosendo,DDD
30119,GAL,P3,GT,31,CONC/ARCH,CCAD-AED-DG-_A-2P3J,J,8,9,AA,Z,,none,Unsupported wall and slab,10/20/10,OPEN,,,Revise model.,Rosendo,DDD
30093,GAL,UG,GT,1,STEEL/MEP,CCAD-AED-DG-_A-2P3J,J,8,,Z,,,none,Pipe clashes with steel column,10/20/10,OPEN,,,Minor issue. Note: Still open in FRZ model.,,EVS
30094,GAL,UG,GT,2,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AA,Z,,none,Concrete slab doesn't account for duct,10/20/10,CLOSED,,,,,DDD
30095,GAL,UG,GT,3,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,8,9,AA,Z,,none,Duct clashes with concrete wall in an angle,10/20/10,OPEN,,,Minor issue. Note: Still open in FRZ model.,,DDD
30096,GAL,UG,GT,4,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,7,8,AB,AC,,none,Inconsistency of equipment-concrete modeling,10/20/10,CLOSED,,,,,DDD
30097,GAL,UG,GT,5,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,6,7,AA,Z,,none,Inconsistency of equipment-concrete modeling,10/20/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30098,GAL,UG,GT,6,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,6,,AH,AG,,none,Steel column clashes with slab/pilecap,10/20/10,CLOSED,,,No action required,,DDD
30099,GAL,UG,GT,7,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,6,,AE,AF,,none,Steel columns do not reach the pile caps,10/20/10,CLOSED,,,DDD TO AMEND MODEL AS PER DRAWING CCAD-AED-DG-_S-GUFJ. DONE.,,DDD
30100,GAL,UG,GT,8,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,7,,,,,none,Steel columns sink into pilecaps,10/20/10,CLOSED,,,No action required.,,DDD
30101,GAL,UG,GT,9,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,5,6,AB,AD,,none,Steel columns do not reach the pile caps,10/20/10,CLOSED,,,No action required.,,DDD
30102,GAL,UG,GT,10,CONC/STEEL,CCAD-AED-DG-_A-2P3J,J,5,6,AB,AD,,none,Steel columns do not reach the pile caps,10/20/10,CLOSED,,,No action required.,,DDD
30117,GAL,UG,GT,11,CONC/MEP,CCAD-AED-DG-_A-2P3J,J,8,9,AC,AD,,none,Floor drain - slab inconsistency,10/20/10,CLOSED,,,,,DDD
30106,GAL,UG,GT,4,CONC/MEP,CCAD-AED-DG-_A-2P3N,J,7,8,AB,AC,,none,Concrete slab doesn't account for duct,10/20/10,OPEN,,,ETA to re-route duct,,DDD
30103,GAL,UG,GT,1,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,7,8,Y,W,,none,Concrete slab doesn't account for duct,10/20/10,UNDER RFI,,,,,DDD
30104,GAL,UG,GT,2,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,7,8,Y,Z,,none,Inconsistency of equipment-concrete modeling,10/20/10,CLOSED,,,No action required.,,DDD
30105,GAL,UG,GT,3,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,7,8,X,Y,,none,Inconsistency of equipment-concrete modeling,10/20/10,CLOSED,,,Model amended by DDD.,,DDD
30107,GAL,UG,GT,5,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,8,9,AA,Z,,none,Concrete slab doesn't account for duct,10/20/10,CLOSED,,,Opening made by DDD,,DDD
30108,GAL,UG,GT,6,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,8,9,W,X,,none,Pipe non-orthogonal to concrete,10/20/10,OPEN,,,Minor Issue,,DDD
30109,GAL,UG,GT,7,CONC/STEEL,CCAD-AED-DG-_A-2P3N,N,,,,,,none,Columns go below slab level,10/20/10,CLOSED,,,No action required.,,DDD
30110,GAL,UG,GT,8,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,8,9,Y,Z,,none,Pipe non-orthogonal to concrete,10/20/10,OPEN,,,Minor Issue,,DDD
30111,GAL,UG,GT,9,CONC/MEP,CCAD-AED-DG-_A-2P3N,N,8,9,Y,Z,,none,Inconsistency of equipment-concrete modeling,10/20/10,OPEN,,,DDD TO AMEND MODEL. Sump Pit not modeled as of 2-Feb-11,,DDD
30112,GAL,UG,GT,1,CONC/MEP,CCAD-AED-DG-_A-2P3S,S,6.5,7.5,M,N,,none,Level of floor drain and concrete,10/20/10,CLOSED,,,NO ACTION REQUIRED,,DDD
30113,GAL,UG,GT,2,CONC/MEP,CCAD-AED-DG-_A-2P3S,S,6,7,M,N,,none,Distance between sumpit and floor drain ,10/20/10,CLOSED,,,Sump-Pit removed from area in model as of 2-Feb-11,,DDD
30114,GAL,UG,GT,3,CONC/MEP,CCAD-AED-DG-_A-2P3S,S,6.5,7.5,M,N,,none,Pipes bending into the concrete,10/20/10,CLOSED,,,Closed ETA modified underground walls,,DDD
30115,GAL,UG,GT,4,CONC/MEP,CCAD-AED-DG-_A-2P3S,S,8,9,R,S,,none,Inconsistency of equipment-concrete modeling,10/20/10,CLOSED,,,Drawing is OK model being updated by ETA,,DDD
30116,GAL,UG,GT,5,CONC/MEP,CCAD-AED-DG-_A-2P3S,S,6,8,M,N,,none,Incomplete model,10/20/10,CLOSED,,,No action required. Model was part of FOU model,,DDD
30149,GAL,P2,GT,1,CONC/STEEL,,A,5,6,AQ,AR,,none,Steel beam clashes with slab,10/27/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30150,GAL,P2,GT,1,CONC/STEEL, CCAD-AED-DG-_A-2P2E,E,5,6,AP,AQ,,none,Steel beam clashes with slab,10/27/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30151,GAL,P2,GT,2,CONC/STEEL, CCAD-AED-DG-_A-2P2E,E,5,6,AN,AP,,none,Steel beam clashes with slab,10/27/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30152,GAL,P2,GT,3,CONC/STEEL, CCAD-AED-DG-_A-2P2E,E,5,6,AM,AN,,none,Steel beam clashes with slab,10/27/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30153,GAL,P2,GT,4,CONC/STEEL, CCAD-AED-DG-_A-2P2E,E,5,6,AM,AA,,none,Steel beam clashes with slab,10/27/10,CLOSED,12/26/10,,Pre-cambered beams,,EVS
30155,GAL,P2,GT,8,CONC/STEEL,,J,2,6,AG,AA,,none,Incomplete model,10/27/10,CLOSED,,,DDD Model is part of the Parking Area (per Rosendo),,DDD
30158,GAL,P2,GT,9,ARCH/STEEL, CCAD-AED-DG-_A-2P2J,J,8,,AA,,,none,Missing steel columns,10/27/10,OPEN,,,ESD to update model,Mahesh,EVS
30156,GAL,P2,GT,7,ARCH/STEEL, CCAD-AED-DG-_A-2P2N,N,7,,Y,,,none,Missing steel columns,10/27/10,OPEN,,,ESD to update model,Mahesh,EVS
30157,GAL,P2,GT,8,ARCH/STEEL, CCAD-AED-DG-_A-2P2N,N,7,,S,,,none,Missing steel columns,10/27/10,OPEN,,,ESD to update model,Mahesh,EVS
30154,GAL,P2,GT,7,CONC/STEEL,,S,8,,,,,none,Incomplete model,10/27/10,CLOSED,,,DDD Model is part of the Clinic (per Rosendo),,DDD
30120,GAL,UG,GT,1,CONC/MEP,CCAD-AED-DG_A-2P3A,A,4,5,AS,AT,,none,Pipe goes through tie beam,10/27/10,CLOSED,,,CAST: Reroute according to image / NOT CAST (?) ACCORDING TO ETA - UNDER REVISION,,DDD
30121,GAL,UG,GT,2,CONC/MEP,CCAD-AED-DG_A-2P3A,A,6,7,AS,AT,,none,Pipe goes through tie beam,10/27/10,CLOSED,,,CAST: Reroute according to image / NOT CAST (?) ACCORDING TO ETA - UNDER REVISION / CAST CONFIRMED BY P. PYNAERT VIA C. HELLIO NOV 02,,DDD
30122,GAL,UG,GT,3,CONC/MEP,CCAD-AED-DG_A-2P3A,A,4,5,AS,AT,,none,Pipe goes through tie beam,10/27/10,CLOSED,,,NOT CAST: ETA to provide sleeves,,DDD
30127,GAL,UG,GT,4,CONC/MEP,CCAD-AED-DG_A-2P3A,A,2,3,AQ,AR,,none,Distance between pipe and wall too long,10/27/10,CLOSED,,,Drainage pipe to be shifted closer to the wall,,DDD
30128,GAL,UG,GT,5,CONC/STEEL,CCAD-AED-DG_A-2P3A,A,,,,,,none,Steel column clashes with slab/pilecap,10/27/10,CLOSED,,,No action required,,DDD
30129,GAL,UG,GT,6,CONC/MEP,CCAD-AED-DG_A-2P3A,A,4,5,AT,AU,,none,Inconsistency of equipment-concrete modeling,10/27/10,CLOSED,,,DDD to update model,,DDD
30144,GAL,UG,GT,7,CONC/MEP,CCAD-AED-DG_A-2P3A,A,7,8,AS,AT,,none,Pipe goes through tie beam,10/27/10,CLOSED,,,Check model and check site,,DDD
